m2|heatingType|elevator|price|createdAt|roomCount|redactedFloor|lastFloor|furnished|registered|placeTitle
64|central|1|179000|03/28/2023 12:05:26|2|5|True|no|yes|Banovo Brdo
60|district|1|140000|03/03/2023 16:21:40|2.5|4|False|no|yes|Žarkovo
61|gas|0|155550|03/03/2023 16:21:39|3|2|False|no||Banovo Brdo
68|gas|0|173400|03/03/2023 16:21:39|3|1|False|no||Banovo Brdo
47|gas|0|120000|03/03/2023 16:21:39|1.5|-1|False|no||Banovo Brdo
38|central|0|76000|03/07/2023 20:22:49|0.5|0|False|no||Žarkovo
50|electricity|0|75000|04/24/2023 15:35:40|2.5|-1|False|no|yes|Žarkovo
41|district|1|105000|03/27/2023 13:30:17|1|6|False|no|yes|Čukarička Padina
47|electricity|0|92000|12/13/2022 18:26:27|2|1|False|no||Čukarička Padina
54|gas|0|82000|03/28/2023 00:28:11|2|-1|False|no|yes|Žarkovo
42|central|0|77000|03/28/2023 00:19:43|2|5|True||yes|Žarkovo
130|district|0|510000|01/28/2023 00:05:11|4|2|False||yes|Banovo Brdo
142|district|0|600000|01/28/2023 00:05:09|5|3|False||yes|Banovo Brdo
31|district|0|62000|03/27/2023 22:15:43|1|1|False|no|no|Julino Brdo
45|electricity|0|70000|11/27/2022 22:10:42|2|4|True|no||Julino Brdo
91|district|0|150000|10/27/2021 20:19:57|3.5|1|False||yes|Filmski Grad
55|district|0|130000|03/27/2023 20:07:04|2|3|False|no|yes|Banovo Brdo
40|electricity|0|70000|12/14/2021 14:27:38|2|3|False|no||Žarkovo
41|district|1|107000|03/27/2023 19:32:13|1.5|6|False|no|yes|Čukarička Padina
61|electricity|0|88000|02/27/2023 18:12:35|2|1|False|no|yes|Bele Vode
73|district|0|139900|02/27/2023 18:12:33|3|1|False|no|yes|Filmski Grad
73|district|0|165000|03/27/2023 17:34:06|3|1|False|no||Filmski Grad
147|gas|0|490000|04/26/2023 17:08:44|4|2|False|no|yes|Golf Naselje
130|district|1|165000|03/27/2023 16:58:18|5|5|True|yes|in_progress|Banovo Brdo
142|gas|0|600000|03/27/2023 16:10:00|4.5|3|True|no|yes|Golf Naselje
34|central|0|73000|12/26/2022 14:34:04|1|0|False|no|yes|Bele Vode
59|storageHeater|0|88000|02/27/2023 15:26:05|2|0|False|no|yes|Bele Vode
48|district|1|158000|09/21/2022 16:23:12|2|0|False|no|yes|Banovo Brdo
142|gas|0|610000|12/19/2022 16:24:50|5|3|True|no|yes|Banovo Brdo
147|gas|0|500000|12/19/2022 16:24:51|4|2|False|no|yes|Banovo Brdo
76|district|1|270000|03/16/2023 13:29:06|3|3|False|no|yes|Banovo Brdo
70|district|1|189000|04/20/2023 13:34:29|3|5|False|no|yes|Banovo Brdo
48|district|0|158000|10/27/2022 14:30:17|2|-1|False||yes|Banovo Brdo
108|gas|1|350000|04/26/2023 14:23:13|4|1|False||no|Filmski Grad
101|district|1|230000|03/27/2023 14:06:27|3|5|True|no|yes|Banovo Brdo
73|district|0|139900|02/27/2023 13:31:34|3|1|False|no|yes|Filmski Grad
48|gas|0|105000|02/27/2023 13:31:33|2|3|True|no|yes|Žarkovo
48|gas|0|105000|02/27/2023 13:31:33|2|3|True|no|yes|Žarkovo
43|district|1|85000|04/26/2023 13:32:49|2.5|0|False|no||Železnik
64|electricity|0|75000|06/27/2022 13:08:34|2.5|2|True|||Železnik
73|district|0|139900|02/27/2023 12:47:42|3|1|False|no|yes|Žarkovo
80|district|1|200000|10/16/2018 21:29:20|3|5|True|no|yes|Golf Naselje
183|district|0|250000|04/27/2018 12:13:25|5|4|False||yes|Žarkovo
77|district|1|205000|03/27/2023 10:22:03|4|4|False||yes|Banovo Brdo
150|district|0|274000|01/27/2021 09:19:31|5|3|True||yes|Golf Naselje
169|gas|0|371800|10/27/2018 00:56:06|6|2|True||yes|Banovo Brdo
74|gas|1|165000|04/25/2023 18:21:04|3|1|False||no|Filmski Grad
122|district|1|195000|07/26/2022 18:10:03|5|6|False|no|yes|Cerak Vinogradi
134|gas|0|227800|03/26/2021 18:02:10|4|2|True|no||Železnik
76|gas|0|114000|03/26/2021 18:02:07|3|2|True|no||Železnik
