Lokacija|BrojSoba|Mesec|Datum|ProsecnaCena
Barajevo|3.5|505|05/01/2023|780
Barajevo|3.5|506|06/01/2023|780
Barajevo|4|001|01/01/2018|440
Barajevo|4|002|02/01/2018|440
Barajevo|4|003|03/01/2018|440
Barajevo|4|004|04/01/2018|440
Barajevo|4|005|05/01/2018|440
Barajevo|4|006|06/01/2018|0
Barajevo|4|007|07/01/2018|0
Barajevo|4|008|08/01/2018|0
Barajevo|4|009|09/01/2018|327.16
Barajevo|4|010|10/01/2018|345.57
Barajevo|4|011|11/01/2018|356.85
Barajevo|4|012|12/01/2018|356.85
Barajevo|4|101|01/01/2019|308.5733333333333
Barajevo|4|102|02/01/2019|309.0733333333333
Barajevo|4|103|03/01/2019|377.36
Barajevo|4|104|04/01/2019|368.75
Barajevo|4|105|05/01/2019|362.9
Barajevo|4|106|06/01/2019|443.005
Barajevo|4|107|07/01/2019|438.04999999999995
Barajevo|4|108|08/01/2019|432.695
Barajevo|4|109|09/01/2019|0
Barajevo|4|110|10/01/2019|0
Barajevo|4|111|11/01/2019|0
Barajevo|4|112|12/01/2019|387.5
Barajevo|4|201|01/01/2020|387.5
Barajevo|4|202|02/01/2020|315.75
Barajevo|4|203|03/01/2020|200
Barajevo|4|204|04/01/2020|0
Barajevo|4|205|05/01/2020|200
Barajevo|4|206|06/01/2020|207.81
Barajevo|4|207|07/01/2020|207.81
Barajevo|4|208|08/01/2020|207.81
Barajevo|4|209|09/01/2020|300.48333333333335
Barajevo|4|210|10/01/2020|0
Barajevo|4|211|11/01/2020|302.2
Barajevo|4|212|12/01/2020|302.2
Barajevo|4|301|01/01/2021|0
Barajevo|4|302|02/01/2021|302.2
Barajevo|4|303|03/01/2021|330.40000000000003
Barajevo|4|304|04/01/2021|327.43
Barajevo|4|305|05/01/2021|0
Barajevo|4|306|06/01/2021|0
Barajevo|4|307|07/01/2021|0
Barajevo|4|308|08/01/2021|460
Barajevo|4|309|09/01/2021|460
Barajevo|4|310|10/01/2021|460
Barajevo|4|311|11/01/2021|460
Barajevo|4|312|12/01/2021|470
Barajevo|4|401|01/01/2022|480
Barajevo|4|402|02/01/2022|480
Barajevo|4|403|03/01/2022|713.2466666666666
Barajevo|4|404|04/01/2022|0
Barajevo|4|405|05/01/2022|0
Barajevo|4|406|06/01/2022|0
Barajevo|4|407|07/01/2022|550
Barajevo|4|408|08/01/2022|550
Barajevo|4|409|09/01/2022|625.23
Barajevo|4|410|10/01/2022|637.815
Barajevo|4|411|11/01/2022|725.63
Barajevo|4|412|12/01/2022|691.2
Barajevo|4|501|01/01/2023|737.7533333333334
Barajevo|4|502|02/01/2023|830.17
Barajevo|4|503|03/01/2023|0
Barajevo|4|504|04/01/2023|805.3
Barajevo|4|505|05/01/2023|799.505
Barajevo|4|506|06/01/2023|783.945
Barajevo|4.5|001|01/01/2018|0
